item_no,category,main_promotion,color,stars,success_indicator
739157,Tunic,Catalog,Green,3.1,flop
591846,Hoodie,Category_Highlight,Red,1.5,flop
337574,Sweatshirt,Catalog,Red,4.4,top
401933,Polo-Shirt,Category_Highlight,Blue,3.1,flop
812151,Hoodie,Category_Highlight,Green,4.1,top
200284,Hoodie,Display_Ad_Campaign,Yellow,3.9,flop
974264,Sweatshirt,Catalog,Red,1.4,flop
389059,Sweatshirt,Category_Highlight,Red,1.8,top
413025,T-Shirt,Catalog,Black,3.2,top
615692,Hoodie,Category_Highlight,White,5.0,top
306437,Sweatshirt,Category_Highlight,Multi-Color,1.8,flop
405726,Hoodie,Category_Highlight,White,5.5,top
448384,Polo-Shirt,Catalog,Green,2.5,flop
982680,Tunic,Display_Ad_Campaign,Black,2.5,top
114525,Sweatshirt,Display_Ad_Campaign,Blue,3.4,top
852559,Polo-Shirt,Frontpage_Header,Brown,2.7,top
190535,Sweatshirt,Catalog,Red,1.7,flop
580005,Tunic,Frontpage_Header,Multi-Color,3.2,top
854997,Polo-Shirt,Frontpage_Header,Brown,2.8,flop
472120,T-Shirt,Category_Highlight,Brown,4.8,flop
159368,T-Shirt,Display_Ad_Campaign,Black,4.0,top
729764,T-Shirt,Frontpage_Header,Black,4.5,top
580235,Polo-Shirt,Catalog,Multi-Color,2.8,top
464802,T-Shirt,Category_Highlight,Green,4.5,top
611317,Polo-Shirt,Frontpage_Header,White,3.1,flop
803370,Sweatshirt,Frontpage_Header,Pink,3.4,top
727480,Tunic,Category_Highlight,Orange,2.8,top
212634,Sweatshirt,Category_Highlight,Multi-Color,1.3,flop
502354,Blouse,Frontpage_Header,Multi-Color,2.6,flop
862525,Blouse,Frontpage_Header,Black,3.6,top
656569,Tunic,Category_Highlight,Blue,5.0,flop
900833,Sweatshirt,Display_Ad_Campaign,Black,4.9,top
967534,T-Shirt,Catalog,Blue,3.2,top
676497,Tunic,Catalog,Yellow,2.2,flop
359591,Sweatshirt,Frontpage_Header,Pink,3.7,top
704909,Sweatshirt,Frontpage_Header,Green,2.6,top
709011,Tunic,Catalog,Yellow,3.2,top
462091,Tunic,Display_Ad_Campaign,Green,2.3,flop
703701,Hoodie,Catalog,Pink,2.8,flop
390888,Blouse,Category_Highlight,Blue,3.2,flop
398860,Tunic,Category_Highlight,White,4.1,top
550886,Tunic,Category_Highlight,Red,3.8,flop
505189,Blouse,Display_Ad_Campaign,Blue,4.8,top
908989,Blouse,Catalog,Yellow,3.4,top
279928,T-Shirt,Frontpage_Header,Multi-Color,4.6,top
152942,T-Shirt,Display_Ad_Campaign,Black,3.5,top
501597,T-Shirt,Display_Ad_Campaign,Black,2.9,top
425240,T-Shirt,Category_Highlight,Blue,2.2,flop
986159,Polo-Shirt,Catalog,Blue,1.6,flop
347683,Polo-Shirt,Category_Highlight,Brown,3.0,top
902299,Polo-Shirt,Catalog,Yellow,3.9,top
605308,Blouse,Frontpage_Header,Blue,4.2,top
307667,T-Shirt,Catalog,Blue,3.0,flop
271823,Polo-Shirt,Frontpage_Header,Yellow,1.9,top
573967,Blouse,Catalog,Yellow,4.1,top
773998,T-Shirt,Category_Highlight,Yellow,4.6,top
769988,T-Shirt,Display_Ad_Campaign,Black,4.2,top
297632,Polo-Shirt,Category_Highlight,Red,3.9,top
301758,T-Shirt,Category_Highlight,Yellow,5.4,top
984022,Blouse,Display_Ad_Campaign,Blue,4.9,top
351808,T-Shirt,Frontpage_Header,Multi-Color,4.6,top
141385,Tunic,Category_Highlight,Multi-Color,3.4,top
401779,Blouse,Catalog,Yellow,4.0,top
264239,Hoodie,Frontpage_Header,Yellow,2.5,top
775890,Sweatshirt,Catalog,Orange,4.3,top
354216,Sweatshirt,Category_Highlight,Red,1.4,flop
171232,Sweatshirt,Frontpage_Header,White,2.9,top
804982,Polo-Shirt,Frontpage_Header,Yellow,2.5,flop
921791,Blouse,Frontpage_Header,Yellow,3.5,top
945461,Hoodie,Catalog,Orange,3.2,top
131126,Tunic,Category_Highlight,Multi-Color,4.3,top
385560,Tunic,Category_Highlight,Red,3.2,flop
688977,Hoodie,Catalog,Orange,2.8,flop
266374,Polo-Shirt,Category_Highlight,Brown,4.2,top
769913,Polo-Shirt,Catalog,Yellow,4.0,top
926997,Blouse,Category_Highlight,Black,4.4,flop
591184,Blouse,Category_Highlight,Blue,4.7,top
983177,Blouse,Catalog,Blue,2.5,top
566361,Blouse,Category_Highlight,Green,5.4,top
774556,Sweatshirt,Frontpage_Header,Blue,2.5,top
987868,Polo-Shirt,Frontpage_Header,Green,2.0,flop
218314,T-Shirt,Catalog,Red,4.3,flop
131191,Tunic,Category_Highlight,Yellow,3.1,flop
415739,Sweatshirt,Catalog,Red,4.8,top
538481,Polo-Shirt,Catalog,Multi-Color,3.6,flop
474529,Polo-Shirt,Category_Highlight,Yellow,2.8,flop
105725,Sweatshirt,Display_Ad_Campaign,Orange,4.8,top
970169,Blouse,Display_Ad_Campaign,Brown,5.0,top
767076,Sweatshirt,Display_Ad_Campaign,Orange,3.5,flop
410448,Sweatshirt,Catalog,Red,1.4,flop
466849,Tunic,Frontpage_Header,Brown,3.0,flop
632434,Polo-Shirt,Catalog,Orange,3.6,flop
525489,Hoodie,Category_Highlight,Brown,3.6,top
582532,Tunic,Catalog,Blue,4.8,top
315520,Tunic,Category_Highlight,Red,3.0,flop
644345,Polo-Shirt,Catalog,Pink,3.8,top
223064,T-Shirt,Category_Highlight,Yellow,3.7,top
119963,Polo-Shirt,Category_Highlight,Multi-Color,3.1,flop
897134,Tunic,Display_Ad_Campaign,Black,2.5,flop
191970,T-Shirt,Catalog,Black,4.0,top
156241,Sweatshirt,Category_Highlight,Red,1.0,flop
733884,Tunic,Display_Ad_Campaign,Black,2.7,flop
971341,T-Shirt,Frontpage_Header,Yellow,4.2,top
641798,T-Shirt,Catalog,Red,4.6,top
320884,Blouse,Display_Ad_Campaign,Yellow,3.6,top
850370,T-Shirt,Catalog,Blue,4.1,top
491303,Hoodie,Frontpage_Header,Yellow,3.2,top
389858,Tunic,Catalog,Green,3.0,flop
214273,Hoodie,Catalog,Yellow,3.4,flop
668486,Sweatshirt,Frontpage_Header,Pink,3.5,top
965825,T-Shirt,Catalog,Red,4.0,top
838802,T-Shirt,Category_Highlight,Blue,3.1,top
709312,Sweatshirt,Display_Ad_Campaign,Orange,4.5,top
640808,Tunic,Category_Highlight,Black,5.2,top
925365,T-Shirt,Catalog,Black,3.1,top
856259,Polo-Shirt,Category_Highlight,Multi-Color,2.3,flop
963976,Blouse,Catalog,Yellow,4.4,top
563715,Sweatshirt,Category_Highlight,Green,3.3,flop
830541,Blouse,Catalog,Pink,4.3,top
198091,Tunic,Category_Highlight,Blue,5.2,top
774908,Tunic,Frontpage_Header,Yellow,2.7,flop
488105,Hoodie,Catalog,Black,4.6,top
264075,Sweatshirt,Display_Ad_Campaign,Blue,3.4,flop
186484,Tunic,Display_Ad_Campaign,Multi-Color,3.9,top
420205,Tunic,Category_Highlight,Brown,4.3,flop
141146,Sweatshirt,Frontpage_Header,Green,2.6,top
765312,T-Shirt,Frontpage_Header,Multi-Color,4.5,top
362385,T-Shirt,Catalog,Black,3.4,flop
530737,Hoodie,Display_Ad_Campaign,Green,2.4,top
155091,T-Shirt,Category_Highlight,Green,5.0,top
324928,Tunic,Category_Highlight,Red,2.9,flop
585423,Sweatshirt,Catalog,Black,5.3,top
655112,Blouse,Catalog,Yellow,4.3,top
269009,Tunic,Category_Highlight,Green,3.1,flop
858411,Polo-Shirt,Catalog,Multi-Color,3.4,flop
628426,T-Shirt,Frontpage_Header,Yellow,3.8,top
796574,Tunic,Frontpage_Header,Multi-Color,3.2,top
216535,Blouse,Display_Ad_Campaign,Brown,4.9,top
543132,Polo-Shirt,Category_Highlight,Multi-Color,3.4,flop
515091,Tunic,Category_Highlight,Brown,4.2,top
648533,Tunic,Category_Highlight,Brown,4.4,top
524262,Sweatshirt,Category_Highlight,Red,1.2,top
398211,Sweatshirt,Category_Highlight,Red,1.4,flop
296831,Hoodie,Catalog,Green,3.5,top
280692,T-Shirt,Category_Highlight,Red,4.0,top
333186,Sweatshirt,Catalog,Yellow,3.7,top
262521,T-Shirt,Category_Highlight,Blue,3.3,top
568434,Polo-Shirt,Frontpage_Header,Orange,2.6,flop
248926,T-Shirt,Display_Ad_Campaign,Black,3.5,top
913601,Tunic,Catalog,Green,2.6,flop
615717,Tunic,Category_Highlight,Brown,4.8,top
704396,Tunic,Frontpage_Header,Brown,4.6,top
362360,Polo-Shirt,Catalog,Green,3.0,flop
393811,Sweatshirt,Frontpage_Header,Blue,2.8,top
698913,Tunic,Category_Highlight,Yellow,2.9,flop
331758,Tunic,Frontpage_Header,Multi-Color,2.2,flop
